Gender;Age;age_ed;education;Group;answers;q_1;q_2;q_3;q_4;q_5;q_6;q_1_p;q_2_p;q_3_p;q_4_p;q_5_p;q_6_p;t_1;t_2;t_3;t_4;t_5;t_6
Женщина;20;14;неоконченное высшее;D;{1.0: ['a2', 'a3', 15688.0], 4.0: ['a2', 'a2', 14456.0], 6.0: ['a2', 'a2', 18455.0], 2.0: ['a2', 'a1', 21190.0], 5.0: ['a2', 'a1', 15288.0], 3.0: ['a2', 'a3', 10955.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;15688;21190;10955;14456;15288;18455
Мужчина;49;14;высшее;C;{2.0: ['a1', 'a1', 21759.0], 6.0: ['a4', 'a2', 18304.0], 4.0: ['a2', 'a2', 12549.0], 3.0: ['a1', 'a3', 13167.0], 5.0: ['a1', 'a1', 12831.0], 1.0: ['a3', 'a3', 23024.0]};a3;a1;a1;a2;a1;a4;1;1;0;1;1;0;23024;21759;13167;12549;12831;18304
Женщина;25;18;высшее;D;{5.0: ['a3', 'a1', 14502.0], 2.0: ['a3', 'a1', 8681.0], 1.0: ['a3', 'a3', 9265.0], 6.0: ['a2', 'a2', 10158.0], 4.0: ['a3', 'a2', 9850.0], 3.0: ['a3', 'a3', 9840.0]};a3;a3;a3;a3;a3;a2;1;0;1;0;0;1;9265;8681;9840;9850;14502;10158
Женщина;20;13;неоконченное высшее;A;{2.0: ['a2', 'a3', 16893.0], 3.0: ['a1', 'a1', 8406.0], 6.0: ['a1', 'a2', 16594.0], 5.0: ['a2', 'a2', 6987.0], 1.0: ['a2', 'a3', 10019.0], 4.0: ['a2', 'a1', 40602.0]};a2;a2;a1;a2;a2;a1;0;0;1;0;1;0;10019;16893;8406;40602;6987;16594
Женщина;22;15;высшее;B;{6.0: ['a2', 'a2', 15356.0], 4.0: ['a1', 'a1', 14071.0], 2.0: ['a1', 'a3', 8203.0], 5.0: ['a1', 'a2', 8303.0], 1.0: ['a1', 'a3', 14163.0], 3.0: ['a1', 'a1', 7085.0]};a1;a1;a1;a1;a1;a2;0;0;1;1;0;1;14163;8203;7085;14071;8303;15356
Женщина;33;16;высшее;D;{4.0: ['a1', 'a2', 17503.0], 2.0: ['a1', 'a1', 13598.0], 1.0: ['a3', 'a3', 11247.0], 3.0: ['a3', 'a3', 13228.0], 5.0: ['a3', 'a1', 15805.0], 6.0: ['a2', 'a2', 11405.0]};a3;a1;a3;a1;a3;a2;1;1;1;0;0;1;11247;13598;13228;17503;15805;11405
Женщина;22;15;высшее;A;{6.0: ['a2', 'a2', 19685.0], 1.0: ['a2', 'a3', 9026.0], 3.0: ['a1', 'a1', 10743.0], 4.0: ['a3', 'a1', 14220.0], 5.0: ['a2', 'a2', 13412.0], 2.0: ['a2', 'a3', 8495.0]};a2;a2;a1;a3;a2;a2;0;0;1;0;1;1;9026;8495;10743;14220;13412;19685
Женщина;32;22;два высших;B;{3.0: ['a1', 'a1', 21405.0], 2.0: ['a1', 'a3', 13004.0], 4.0: ['a1', 'a1', 24054.0], 6.0: ['a2', 'a2', 12053.0], 1.0: ['a2', 'a3', 14476.0], 5.0: ['a2', 'a2', 10461.0]};a2;a1;a1;a1;a2;a2;0;0;1;1;1;1;14476;13004;21405;24054;10461;12053
Женщина;20;15;высшее;C;{5.0: ['a2', 'a1', 15094.0], 2.0: ['a3', 'a1', 12302.0], 6.0: ['a2', 'a2', 12240.0], 4.0: ['a2', 'a2', 12237.0], 3.0: ['a3', 'a3', 13237.0], 1.0: ['a2', 'a3', 13799.0]};a2;a3;a3;a2;a2;a2;0;0;1;1;0;1;13799;12302;13237;12237;15094;12240
Женщина;35;16;высшее;D;{2.0: ['a1', 'a1', 14747.0], 5.0: ['a1', 'a1', 13044.0], 4.0: ['a1', 'a2', 16169.0], 1.0: ['a2', 'a3', 10695.0], 6.0: ['a1', 'a2', 10805.0], 3.0: ['a2', 'a3', 13396.0]};a2;a1;a2;a1;a1;a1;0;1;0;0;1;0;10695;14747;13396;16169;13044;10805
Женщина;38;15;высшее;B;{1.0: ['a2', 'a3', 14132.0], 6.0: ['a1', 'a2', 10163.0], 4.0: ['a1', 'a1', 9312.0], 2.0: ['a2', 'a3', 10585.0], 3.0: ['a1', 'a1', 9415.0], 5.0: ['a2', 'a2', 7966.0]};a2;a2;a1;a1;a2;a1;0;0;1;1;1;0;14132;10585;9415;9312;7966;10163
Женщина;20;20;неоконченное высшее;C;{6.0: ['a2', 'a2', 10752.0], 4.0: ['a1', 'a2', 12359.0], 3.0: ['a2', 'a3', 11765.0], 5.0: ['a1', 'a1', 12617.0], 2.0: ['a2', 'a1', 18389.0], 1.0: ['a1', 'a3', 8816.0]};a1;a2;a2;a1;a1;a2;0;0;0;0;1;1;8816;18389;11765;12359;12617;10752
Женщина;36;16;высшее;D;{1.0: ['a2', 'a3', 14379.0], 6.0: ['a2', 'a2', 16211.0], 4.0: ['a2', 'a2', 21981.0], 3.0: ['a2', 'a3', 14537.0], 2.0: ['a2', 'a1', 12424.0], 5.0: ['a2', 'a1', 11454.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;14379;12424;14537;21981;11454;16211
Женщина;40;19;высшее;A;{2.0: ['a1', 'a3', 12197.0], 4.0: ['a2', 'a1', 15128.0], 5.0: ['a2', 'a2', 13142.0], 1.0: ['a2', 'a3', 9953.0], 3.0: ['a2', 'a1', 11921.0], 6.0: ['a2', 'a2', 9882.0]};a2;a1;a2;a2;a2;a2;0;0;0;0;1;1;9953;12197;11921;15128;13142;9882
Женщина;39;17;средне специальное;B;{3.0: ['a1', 'a1', 53694.0], 6.0: ['a2', 'a2', 22881.0], 4.0: ['a2', 'a1', 36967.0], 2.0: ['a2', 'a3', 18638.0], 5.0: ['a2', 'a2', 13950.0], 1.0: ['a2', 'a3', 13814.0]};a2;a2;a1;a2;a2;a2;0;0;1;0;1;1;13814;18638;53694;36967;13950;22881
Женщина;22;15;высшее;C;{2.0: ['a3', 'a1', 19700.0], 5.0: ['a3', 'a1', 10814.0], 1.0: ['a3', 'a3', 11300.0], 3.0: ['a1', 'a3', 7718.0], 6.0: ['a2', 'a2', 11804.0], 4.0: ['a2', 'a2', 15511.0]};a3;a3;a1;a2;a3;a2;1;0;0;1;0;1;11300;19700;7718;15511;10814;11804
Женщина;42;10;высшее;A;{2.0: ['a1', 'a3', 22921.0], 1.0: ['a2', 'a3', 12386.0], 4.0: ['a4', 'a1', 19553.0], 3.0: ['a1', 'a1', 11046.0], 6.0: ['a2', 'a2', 10405.0], 5.0: ['a2', 'a2', 10849.0]};a2;a1;a1;a4;a2;a2;0;0;1;0;1;1;12386;22921;11046;19553;10849;10405
Женщина;37;17;высшее;D;{3.0: ['a2', 'a3', 15840.0], 4.0: ['a2', 'a2', 14939.0], 6.0: ['a2', 'a2', 10142.0], 2.0: ['a2', 'a1', 12249.0], 5.0: ['a2', 'a1', 11872.0], 1.0: ['a2', 'a3', 8731.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;8731;12249;15840;14939;11872;10142
Женщина;37;15;среднее специальное;D;{3.0: ['a4', 'a3', 17402.0], 1.0: ['a1', 'a3', 13298.0], 2.0: ['a1', 'a1', 13871.0], 4.0: ['a1', 'a2', 14750.0], 5.0: ['a1', 'a1', 9698.0], 6.0: ['a2', 'a2', 9883.0]};a1;a1;a4;a1;a1;a2;0;1;0;0;1;1;13298;13871;17402;14750;9698;9883
Женщина;39;15;высшее;B;{3.0: ['a1', 'a1', 48583.0], 4.0: ['a1', 'a1', 54915.0], 5.0: ['a4', 'a2', 38239.0], 1.0: ['a1', 'a3', 18112.0], 2.0: ['a2', 'a3', 25056.0], 6.0: ['a2', 'a2', 14368.0]};a1;a2;a1;a1;a4;a2;0;0;1;1;0;1;18112;25056;48583;54915;38239;14368
Женщина;23;15;высшее;C;{4.0: ['a2', 'a2', 14189.0], 1.0: ['a2', 'a3', 24740.0], 5.0: ['a1', 'a1', 10606.0], 6.0: ['a2', 'a2', 17223.0], 2.0: ['a1', 'a1', 9379.0], 3.0: ['a2', 'a3', 26501.0]};a2;a1;a2;a2;a1;a2;0;1;0;1;1;1;24740;9379;26501;14189;10606;17223
Мужчина;24;17;высшее;D;{6.0: ['a2', 'a2', 14575.0], 5.0: ['a3', 'a1', 23537.0], 1.0: ['a2', 'a3', 24123.0], 3.0: ['a2', 'a3', 8180.0], 4.0: ['a2', 'a2', 13137.0], 2.0: ['a3', 'a1', 12079.0]};a2;a3;a2;a2;a3;a2;0;0;0;1;0;1;24123;12079;8180;13137;23537;14575
Женщина;43;11;высшее;A;{1.0: ['a1', 'a3', 16503.0], 2.0: ['a1', 'a3', 13052.0], 5.0: ['a3', 'a2', 17342.0], 3.0: ['a1', 'a1', 11153.0], 4.0: ['a4', 'a1', 17747.0], 6.0: ['a2', 'a2', 11262.0]};a1;a1;a1;a4;a3;a2;0;0;1;0;0;1;16503;13052;11153;17747;17342;11262
Женщина;41;11;среднее;B;{1.0: ['a1', 'a3', 27125.0], 3.0: ['a1', 'a1', 14063.0], 5.0: ['a2', 'a2', 10952.0], 2.0: ['a1', 'a3', 12196.0], 6.0: ['a2', 'a2', 12903.0], 4.0: ['a4', 'a1', 24306.0]};a1;a1;a1;a4;a2;a2;0;0;1;0;1;1;27125;12196;14063;24306;10952;12903
Мужчина;19;12;неоконченное высшее;C;{4.0: ['a3', 'a2', 10929.0], 2.0: ['a1', 'a1', 8468.0], 6.0: ['a2', 'a2', 10877.0], 5.0: ['a1', 'a1', 8372.0], 3.0: ['a1', 'a3', 10028.0], 1.0: ['a2', 'a3', 10971.0]};a2;a1;a1;a3;a1;a2;0;1;0;0;1;1;10971;8468;10028;10929;8372;10877
Женщина;43;17;высшее;A;{3.0: ['a3', 'a1', 11543.0], 5.0: ['a3', 'a2', 10768.0], 6.0: ['a3', 'a2', 10102.0], 1.0: ['a3', 'a3', 9082.0], 2.0: ['a3', 'a3', 9766.0], 4.0: ['a3', 'a1', 12456.0]};a3;a3;a3;a3;a3;a3;1;1;0;0;0;0;9082;9766;11543;12456;10768;10102
Мужчина;39;15;высшее;C;{5.0: ['a1', 'a1', 26979.0], 1.0: ['a2', 'a3', 15816.0], 3.0: ['a1', 'a3', 14395.0], 2.0: ['a1', 'a1', 13274.0], 4.0: ['a2', 'a2', 13088.0], 6.0: ['a2', 'a2', 14204.0]};a2;a1;a1;a2;a1;a2;0;1;0;1;1;1;15816;13274;14395;13088;26979;14204
Мужчина;20;15;неоконченное высшее;A;{3.0: ['a1', 'a1', 16071.0], 1.0: ['a3', 'a3', 10457.0], 2.0: ['a3', 'a3', 9372.0], 4.0: ['a1', 'a1', 13132.0], 5.0: ['a3', 'a2', 8453.0], 6.0: ['a3', 'a2', 10605.0]};a3;a3;a1;a1;a3;a3;1;1;1;1;0;0;10457;9372;16071;13132;8453;10605
